SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,TIMEZONE,ETA_OFFSET,SPEED,ETA_UPDATED,DISTANCE_TO_GO,PORT_ID,CURRENT_PORT,CTA_ROUTE_FORECAST
2804899,9553957,626046000,TRAY6,COURAGE 7,8,1758531621,GA,GABON,24,MUSCAT,OM,18585,1758249000,MUSCAT.OMAN,OM,Tanker,148,58.444759,23.713943,4.0,4,0.0,,0,22797,MINA AL FAHL ANCH,false
375289,9286451,311001867,C6JG4,ELENA 1,8,1785644114,BS,BAHAMAS,107,KHOR FAKKAN,AE,18560,1770465600,KHORFAKKAN,AE,Tanker,332,56.438251,25.379766,4.0,4,0.1,,0,20586,KHOR FAKKAN ANCH,false
3976127,9722637,256769000,9HA4002,HELLAS REVENGER,8,1785644162,MT,MALTA,39,JEBEL ALI,AE,102,1785553200,AEJEA,AE,Tanker,,55.049034,25.012119,4.0,4,0.0,,0,102,JEBEL ALI,false
459247,9272395,370722000,3FRE2,ARROW G,8,1785515506,PA,PANAMA,30,SHARJAH,AE,103,1785535200,AE SHJ,,Tanker,138,55.013332,25.663334,4.0,4,9.0,,0,,,false
730079,9399167,350604000,H7XD1,ECLIPSE WIND,8,1785644142,NI,NICARAGUA,12,SHINAS,OM,18580,1785536400,SHINAS,AE,Tanker,,56.779285,25.064631,4.0,4,0.4,2026-08-02 04:05:00,27,20585,FUJAIRAH ANCH,true
714755,9323936,636018945,D5SD7,PLATA SINGAPORE,8,1785644092,LR,LIBERIA,31,MUSCAT,OM,18585,1785405600,OMMCT,OM,Tanker,183,58.418045,23.694468,4.0,4,0.1,2026-08-02 03:52:00,6,22797,MINA AL FAHL ANCH,true
730901,9453729,350140000,H7ZK26,BINARY STAR II,8,1785579132,NI,NICARAGUA,6,SOHAR,OM,18567,1778427000,SOHAR OM,,Tanker,154,55.13546,25.561569,4.0,4,0.1,,0,,,false
758561,9482859,563256800,A8XG5,NAVIG8 MESSI,8,1784885949,SG,SINGAPORE,45,FUJAIRAH,AE,790,,AEFJR,AE,Tanker,29,56.479233,25.235834,4.0,,0.0,,0,20585,FUJAIRAH ANCH,false
754469,9448152,215282000,9HA5038,APNOIA,8,1785502587,MT,MALTA,31,,,,1784790000,FOR ORDER,,Tanker,124,50.830635,27.045824,3.0,,12.5,,0,,,false
755405,9455703,636015336,D5AA6,IKARIOTIKOS,8,1785644077,LR,LIBERIA,66,AL HAMRIYA,AE,26292,1785441600,AEHAM,AE,Tanker,187,55.340672,25.5674,4.0,4,0.0,2026-08-02 04:15:00,12,21985,SHARJAH ANCH,true
